task,outcome,condition,control,control_sd,row_n,coef,se,pval
1,1,1,3.25,1.713489571496689,135,-.2054910259169018,.2855080850597037,.4717329004284238
1,1,3,3.25,1.713489571496689,135,-.0526392126393216,.1456355601108719,.7177881316732054
2,1,1,3.023255813953488,1.204917940162282,125,-.6677419129184512,.3316230743639681,.0441301543612077
2,1,3,3.023255813953488,1.204917940162282,125,.0897021410975448,.3248206154900469,.7824417430780005
3,1,1,5.1,1.256776503395564,127,.9808732417665142,.3286660696861259,.0028603364193296
3,1,3,5.1,1.256776503395564,127,.9501814701444946,.3291079821311563,.0039106859167653
4,1,1,5.697674418604652,.8028189537032924,127,-.0512367563528891,.3222950429350779,.8736977030053268
4,1,3,5.697674418604652,.8028189537032924,127,-.6030909109549489,.3300512467629103,.067742533015708
5,1,1,3.777777777777778,1.329540058695776,127,-.2712457912456996,.2970825363104303,.361286808396117
5,1,3,3.777777777777778,1.329540058695776,127,-.0526392126393216,.1456355601108719,.7177881316732054
6,1,1,3.435897435897436,1.888955041047435,126,.8459172524287797,.2924609861736442,.0038458452665738
6,1,3,3.435897435897436,1.888955041047435,126,-.0526392126393216,.1456355601108719,.7177881316732054
1,2,1,3.636363636363636,1.615202616578002,135,-.0173865771738024,.3196408712629821,.9566241901542663
1,2,3,3.636363636363636,1.615202616578002,135,.0382698782700114,.3222287947374959,.9054672231718599
2,2,1,3.162790697674418,1.13242749285686,125,-.2431742325368579,.3316230743639795,.4634322238769228
2,2,3,3.162790697674418,1.13242749285686,125,.1594695829579688,.3248206154900504,.6234940454997284
3,2,1,4.625,1.390213043994448,127,.96750114874312,.3286660696861275,.0032636025581435
3,2,3,4.625,1.390213043994448,127,1.016090561053449,.3291079821311575,.0020344331047984
4,2,1,4.930232558139535,.9101373218525951,127,-.0171282292212781,.3222950429350833,.9576196659879108
4,2,3,4.930232558139535,.9101373218525951,127,-.6561618710028241,.3300512467629205,.0468803997485277
5,2,1,3.422222222222222,1.287860962443485,127,.1612328412329606,.3293242232144136,.6244559619357276
5,2,3,3.422222222222222,1.287860962443485,127,.1633814591954225,.3222950429350827,.6122339543065765
6,2,1,3.461538461538462,1.847418595117805,126,1.378415761671468,.3299045000351334,.0000300747543559
6,2,3,3.461538461538462,1.847418595117805,126,.3535379435378216,.3303447557975562,.2845967749764246
1,3,1,4.113636363636363,1.466143637921956,135,1.27129814236196,.319640871262983,.0000710778737385
1,3,3,4.113636363636363,1.466143637921956,135,.5837244237245451,.3222287947374976,.0701432176191014
2,3,1,3.348837209302326,1.325280220687084,125,.1605228455788206,.3316230743639796,.6283782567398616
2,3,3,3.348837209302326,1.325280220687084,125,.5548184201672666,.3248206154900506,.087708143288955
3,3,1,5.05,1.153589715093382,127,.7052918464175348,.3286660696861274,.0319456613165079
3,3,3,5.05,1.153589715093382,127,.8410905610534452,.3291079821311575,.0106390611257983
4,3,1,5.13953488372093,.7740245889055097,127,-.0708749992471231,.3222950429350834,.8259558655777215
4,3,3,5.13953488372093,.7740245889055097,127,-.4552077863278153,.3300512467629202,.1679175005016446
5,3,1,3.422222222222222,.8390711555287811,126,.1554731158523686,.3307658536395229,.638354975056554
5,3,3,3.422222222222222,.8390711555287811,126,.3261721568698374,.3222950429350825,.3115916757462575
6,3,1,4.435897435897436,1.41039135656649,126,1.28777771754505,.3299045000351337,.0000965481734739
6,3,3,4.435897435897436,1.41039135656649,126,.8791789691788459,.3303447557975566,.0078161524625182
1,4,1,4.045454545454546,1.598757445636723,135,.4884161307565701,.3196408712629832,.1265963571499114
1,4,3,4.045454545454546,1.598757445636723,135,.0837244237245681,.3222287947374969,.795010405654006
2,4,1,4.13953488372093,1.567245010001053,125,.1903379916730396,.3316230743639796,.566031418719258
2,4,3,4.13953488372093,1.567245010001053,125,-.0730885565769162,.3248206154900505,.8219826260729507
3,4,1,4.8,1.264911064067352,127,1.048315102231489,.3286660696861273,.001436866907532
3,4,3,4.8,1.264911064067352,127,1.159272379235264,.3291079821311571,.0004328447661748
4,4,1,5.046511627906977,.7853870253725085,127,-.1111850767665026,.3222950429350835,.7301301270801176
4,4,3,5.046511627906977,.7853870253725085,127,-.4903896587189889,.3300512467629202,.1374197380264001
5,4,1,3.466666666666667,1.391532836969231,127,.8090960890962049,.3293242232144138,.0140633425209316
5,4,3,3.466666666666667,1.391532836969231,127,.6305649217277192,.3222950429350827,.0504852203188042
6,4,1,4,1.986798535597566,126,1.51437282786109,.3299045000351337,4.57601616454e-06
6,4,3,4,1.986798535597566,126,.1787127687126442,.3303447557975561,.5885487742048441
1,5,1,4.295454545454546,1.947921318483402,135,1.259692726501278,.3196408712629828,.0000826919883236
1,5,3,4.295454545454546,1.947921318483402,135,.3564516964518631,.322228794737496,.2687107141466574
2,5,1,3.627906976744186,1.558742713947205,125,.6763248730087539,.3316230743639796,.0414789520052892
2,5,3,3.627906976744186,1.558742713947205,125,.4385393503998239,.3248206154900506,.1770694984508557
3,5,1,4.825,1.517208976022445,127,1.395408125487301,.3286660696861272,.0000223428004832
3,5,3,4.825,1.517208976022445,127,1.406999651962535,.3291079821311571,.0000195912114237
4,5,1,5.581395348837209,.9058686475668083,127,-.1794021310300695,.3222950429350834,.5778083074613813
4,5,3,5.581395348837209,.9058686475668083,127,-.332965687341531,.3300512467629202,.3131236552432491
5,5,1,3.4,1.572490786213793,127,.8244807044808172,.3293242232144138,.0123391326313152
5,5,3,3.4,1.572490786213793,127,.3483943790920576,.3222950429350825,.2797783783013152
6,5,1,4.230769230769231,1.966315529393389,126,1.748719876161624,.3299045000351337,1.22284117361e-07
6,5,3,4.230769230769231,1.966315529393389,126,.4024889924888662,.3303447557975565,.2231551392955838
